BAÞ;ÝÞARET;ORTA;YÜZÜK;SERÇE;X;Y
2634;2288;799;3204;3533;3632;2866
2728;2313;799;3264;3325;3107;2865
2669;2447;815;2717;3336;3170;2864
2635;2588;2651;3771;3442;3091;2859
2637;2636;2864;4095;3696;3111;2830
2584;2662;2876;4095;3538;3085;2853
2400;2659;2817;4095;3591;3100;2869
2685;2831;1541;3892;3601;3114;2852
2667;2440;1039;3356;3419;3104;2877
2712;2357;0;3366;3331;3114;2852
2639;2479;2536;3447;3456;3104;2851
2656;2550;2817;3771;3508;3107;2847
2634;2635;2896;4095;3575;3105;2866
2353;2540;1986;3447;3689;2800;2937
2722;2401;799;3285;3478;3175;2953
2712;2444;799;3204;3470;3136;2778
2696;2411;1152;3406;3392;2928;2865
2549;2548;2337;3730;3470;3422;2877
2533;2717;2670;4095;3527;3161;2881
2597;2757;2727;4095;3582;3109;2870
2748;2459;739;3447;3527;3117;2864
2685;2515;1009;3771;3347;3107;2864
2786;2546;879;3771;3282;3109;2865
2613;2698;2271;3771;3401;3114;2870
2736;2770;2678;3933;3454;3104;3123
2610;2741;2626;3386;3467;3105;2843
2709;2781;2411;2603;3472;3091;2864
2659;2679;2511;2232;3431;3114;2861
4095;2230;2104;1098;3321;3107;2851
2760;2206;1971;1079;3433;3104;2864
1983;2086;1926;1057;3268;3105;2886
2788;2119;1981;1078;3208;3106;2865
2870;2120;1941;1129;3282;3106;2865
2799;2187;1941;1260;3279;3105;2864
2942;2237;1940;1162;3294;3020;2832
2886;2116;2633;679;3287;3155;2864
2286;2682;2456;3447;3279;3597;2865
2448;2936;2677;3609;3410;3077;2822
2480;2931;2729;3690;3475;3115;3184
2489;2910;2521;2677;3427;3105;2864
2510;2620;2144;2991;3425;3107;2869
3145;2161;679;2377;3167;3105;2879
3376;2194;719;2539;3071;3135;2865
2921;2194;1186;2809;3053;3106;2866
2367;2444;2445;3123;3261;3093;2865
2435;2754;2695;3366;3295;3122;2865
2504;2802;2723;3366;3453;3111;2800
2600;2300;479;3041;3259;3154;2866
2666;2278;719;3092;3115;3104;2864
2783;2351;849;3123;2891;3099;2866
2530;2274;1352;3082;3026;3117;2862
2507;2540;2685;3285;3198;3010;3091
2499;2483;2788;2677;3344;3090;2864
2562;2593;2708;2798;3337;3504;2864
2565;2530;2443;3082;3540;3094;2866
3139;2266;479;3168;3253;3103;2878
2632;2282;759;3285;3071;3119;2873
2857;2316;829;3892;3094;3125;2865
2844;2312;881;3204;3011;3102;2717
2526;2485;2566;3285;3248;3088;2869
3210;2561;2715;3264;3347;3108;2866
2517;2553;2725;3274;3378;3111;2834
2539;2560;2486;3285;3399;3115;2874
2626;2297;639;3285;3323;3110;2863
2854;2275;519;3041;3162;3101;2864
2809;2313;1089;3447;3100;3145;2885
2478;2497;2251;3285;3175;2543;2864
2785;2650;2764;3426;3392;3090;2866
2995;2810;2835;3285;3410;3110;2870
2542;2636;2553;3447;3477;3102;2865
2597;2436;659;3183;3394;3086;2867
2916;2363;459;3447;3478;3142;2879
2757;2403;719;2920;3071;3115;2973
2868;2401;739;3244;3042;3098;2863
2480;2540;2441;3285;3196;3110;2862
2499;2684;2684;3244;3323;3104;2871
2523;2678;2739;3447;3375;3088;2880
1864;2487;2541;3193;3417;3088;2853
2616;2100;2351;3001;3243;3126;2489
2736;1799;2057;2821;2860;3107;2855
2882;1703;1961;2727;2503;3126;2859
3001;1702;1869;1726;2469;3095;2850
2995;1842;1914;2820;2314;3107;2870
3094;1877;1860;2797;2388;2748;2864
3120;1626;1770;2639;2322;3119;2864
3096;1435;1578;2443;2270;3105;2877
3476;1459;1576;2432;2260;3088;2899
3633;1321;1504;2436;2213;3113;2885
3684;1344;1469;2415;2177;3101;2869
4044;1086;1482;2368;2205;3115;2865
3736;1362;1618;2579;2249;3095;2869
3118;1806;1789;2863;2257;3106;2815
2712;2183;2186;2474;2573;3111;2874
2299;2298;2230;3001;2487;3104;2879
2908;1955;1891;2767;2594;3103;2922
2988;1888;1815;4095;2417;3106;2899
2757;2046;2018;2920;2414;3554;2866
2898;1778;1901;2814;2341;3010;2855
3893;1801;1845;2771;2255;3120;2875
2972;1750;1777;2739;2257;3059;2864
3040;1779;1055;2833;2245;3045;2828
3112;1762;1789;2721;2242;3102;2819
3150;1807;1804;2739;2249;3095;2864
3383;1807;1797;2744;2228;3148;2880
3131;1783;1794;2738;2234;2925;3449
3149;1794;1792;2736;2195;3103;2867
2895;1807;1798;2833;2231;3104;2881
3261;1817;1795;2745;2229;3102;2882
3145;1542;1772;2738;2231;3101;2635
3158;1818;1798;2755;2190;3104;2889
BAÞ;ÝÞARET;ORTA;YÜZÜK;SERÇE;X;Y
1418,000;2689,000;2574,000;1547,000;2285,000;2941,000;3044,000
1458,000;2674,000;2577,000;1615,000;2185,000;2879,000;3038,000
1462,000;2658,000;2561,000;1600,000;2151,000;2899,000;3026,000
1449,000;2663,000;2574,000;1593,000;2192,000;2850,000;2961,000
1495,000;2905,000;2667,000;3158,000;2190,000;2850,000;3037,000
1464,000;2679,000;2563,000;2184,000;2164,000;2855,000;3039,000
1990,000;3332,000;2651,000;2073,000;2412,000;2846,000;3039,000
2490,000;3867,000;3233,000;3238,000;3047,000;2855,000;3035,000
2896,000;4030,000;3313,000;3477,000;3492,000;2859,000;3015,000
3215,000;4035,000;3442,000;3588,000;3558,000;2950,000;3024,000
3354,000;4003,000;3472,000;3618,000;3638,000;2864,000;3034,000
3752,000;3783,000;3458,000;3263,000;3763,000;2862,000;3035,000
2470,000;3767,000;3661,000;3913,000;3349,000;2898,000;3025,000
1734,000;2625,000;2985,000;1556,000;2915,000;2867,000;3065,000
171,000;1621,000;2152,000;0,000;2187,000;2849,000;3038,000
0,000;1456,000;1959,000;0,000;1973,000;2839,000;3005,000
228,000;1457,000;2523,000;0,000;1798,000;2850,000;3034,000
228,000;1496,000;1886,000;0,000;1762,000;2047,000;3035,000
299,000;1615,000;1829,000;0,000;1764,000;2855,000;3037,000
2528,000;3523,000;3643,000;2423,000;3267,000;2963,000;3024,000
3629,000;4046,000;3589,000;3287,000;3717,000;2851,000;3035,000
3903,000;4013,000;3587,000;3391,000;3734,000;2874,000;3046,000
3287,000;3929,000;3433,000;4095,000;3922,000;2855,000;3045,000
2229,000;3312,000;3218,000;2322,000;3284,000;2864,000;3042,000
1604,000;2232,000;2654,000;1160,000;2820,000;2839,000;3040,000
1462,000;2016,000;2298,000;806,000;2506,000;2047,000;3011,000
1473,000;2061,000;2436,000;892,000;2880,000;2851,000;3033,000
1487,000;2044,000;2375,000;714,000;2506,000;2846,000;3046,000
1578,000;2140,000;2433,000;892,000;2455,000;2858,000;3040,000
2302,000;2120,000;2399,000;959,000;2648,000;2858,000;3038,000
1519,000;2168,000;2430,000;1572,000;2451,000;2851,000;3042,000
1507,000;2197,000;2392,000;1004,000;2444,000;2845,000;3041,000
1493,000;2192,000;2425,000;1026,000;2419,000;2883,000;3040,000
1493,000;2265,000;2549,000;892,000;2432,000;2858,000;3003,000
456,000;2204,000;2433,000;1082,000;2430,000;2847,000;3035,000
1507,000;2196,000;2425,000;1026,000;2409,000;3175,000;3079,000
1482,000;2279,000;2442,000;758,000;2512,000;2800,000;3041,000
1482,000;2283,000;2307,000;624,000;2398,000;2795,000;3037,000
1484,000;2074,000;2949,000;1037,000;2565,000;2863,000;3086,000
1482,000;2239,000;2433,000;981,000;2451,000;2858,000;3063,000
1490,000;2197,000;2425,000;914,000;2324,000;2847,000;3034,000
3153,000;2409,000;2455,000;1048,000;2340,000;2853,000;3066,000
3552,000;2391,000;2513,000;1550,000;2313,000;2859,000;3041,000
3650,000;2460,000;2580,000;1316,000;2313,000;2857,000;3022,000
3627,000;2474,000;2580,000;1321,000;2317,000;2864,000;3024,000
3678,000;2448,000;2832,000;1312,000;2303,000;2861,000;3037,000
2879,000;2326,000;2517,000;312,000;2257,000;2863,000;2987,000
1065,000;2266,000;2489,000;1174,000;2292,000;2847,000;3042,000
0,000;2254,000;2498,000;1161,000;2281,000;2849,000;3043,000
0,000;2257,000;2477,000;1182,000;2200,000;2830,000;3062,000
0,000;2252,000;2460,000;1137,000;2280,000;2853,000;3039,000
0,000;2263,000;2461,000;1126,000;2269,000;2853,000;3039,000
1744,000;2379,000;2463,000;624,000;2280,000;2850,000;3038,000
3323,000;2282,000;2437,000;1189,000;2101,000;2839,000;3045,000
3559,000;2336,000;2489,000;1238,000;2249,000;2862,000;3043,000
3536,000;2388,000;2515,000;1603,000;2295,000;2857,000;2736,000
3488,000;2383,000;2434,000;1266,000;2306,000;2855,000;3027,000
3219,000;2349,000;2506,000;1162,000;2306,000;2855,000;3038,000
1644,000;2356,000;2443,000;1215,000;2281,000;2864,000;3038,000
0,000;2254,000;2571,000;1160,000;2255,000;2847,000;3027,000
0,000;2258,000;2463,000;1171,000;2223,000;2869,000;3043,000
649,000;2258,000;2440,000;1160,000;2232,000;2858,000;3042,000
1783,000;2252,000;2021,000;1140,000;2225,000;2859,000;2962,000
1764,000;2239,000;2452,000;1148,000;2260,000;2863,000;3037,000
1737,000;2240,000;2396,000;1126,000;2223,000;2478,000;2735,000
1843,000;2233,000;2667,000;1249,000;2166,000;2860,000;3034,000
1601,000;2233,000;2465,000;1197,000;2223,000;2862,000;3041,000
1582,000;2219,000;2513,000;1164,000;2228,000;2870,000;3045,000
1590,000;2239,000;2074,000;1140,000;2203,000;2844,000;3027,000
1602,000;2239,000;2450,000;1160,000;2214,000;2941,000;2919,000
1598,000;2228,000;1522,000;1210,000;2287,000;2879,000;3042,000
1604,000;2226,000;2425,000;1150,000;2232,000;2855,000;3033,000
1577,000;2239,000;2442,000;2041,000;2218,000;2847,000;3037,000
1606,000;2245,000;2450,000;1160,000;2223,000;2861,000;3034,000
1738,000;3318,000;2460,000;1196,000;2249,000;2854,000;3043,000
1551,000;4027,000;2590,000;1260,000;2308,000;2832,000;3111,000
1644,000;4094,000;2649,000;1572,000;2274,000;2849,000;3058,000
1657,000;3932,000;2739,000;1819,000;2317,000;2859,000;3053,000
1524,000;3815,000;2752,000;1578,000;2450,000;2841,000;3161,000
1050,000;1725,000;2432,000;1189,000;2278,000;2834,000;3030,000
1088,000;1083,000;2282,000;1126,000;2230,000;2864,000;3039,000
1028,000;1083,000;2262,000;1215,000;2173,000;2849,000;3104,000
1081,000;1204,000;2227,000;1104,000;2221,000;2858,000;3029,000
1098,000;1253,000;2232,000;1126,000;2226,000;2851,000;3029,000
1181,000;1388,000;2165,000;1282,000;2223,000;2860,000;3565,000
1408,000;1480,000;2418,000;1070,000;2251,000;2842,000;3056,000
1273,000;1513,000;2232,000;1093,000;2255,000;2857,000;3024,000
1276,000;1553,000;2231,000;1126,000;2257,000;2811,000;3033,000
1223,000;1568,000;2259,000;1070,000;2264,000;2851,000;3034,000
1124,000;1832,000;2298,000;1160,000;2253,000;2917,000;3039,000
1227,000;3465,000;2523,000;1869,000;2333,000;2853,000;3059,000
1431,000;3664,000;2593,000;1440,000;2391,000;2850,000;3053,000
1414,000;3765,000;2661,000;1458,000;2450,000;2859,000;3043,000
1367,000;3638,000;2670,000;1493,000;2453,000;2854,000;3037,000
1252,000;2879,000;2637,000;1436,000;2620,000;2882,000;3037,000
1165,000;1607,000;2346,000;1215,000;2370,000;2798,000;3022,000
1301,000;1421,000;2354,000;1918,000;2352,000;2830,000;3046,000
1166,000;1188,000;2633,000;1115,000;2336,000;2854,000;3374,000
1273,000;1215,000;2312,000;1260,000;2331,000;2855,000;3034,000
1182,000;1750,000;2309,000;1204,000;2327,000;2863,000;3041,000
1967,000;2123,000;2394,000;1215,000;2320,000;2851,000;3037,000
1202,000;2022,000;2384,000;1829,000;2597,000;2878,000;3035,000
1194,000;1922,000;2359,000;1203,000;2469,000;2766,000;3085,000
1198,000;1883,000;2325,000;1115,000;2334,000;2047,000;3034,000
1223,000;1908,000;2372,000;1221,000;2278,000;2855,000;3056,000
1188,000;2355,000;2381,000;1277,000;2326,000;2864,000;3034,000
1201,000;3520,000;2507,000;1427,000;2336,000;2915,000;3024,000
1312,000;3738,000;2579,000;1450,000;2357,000;2832,000;3038,000
1535,000;3813,000;2666,000;1671,000;2375,000;2870,000;3029,000
965,000;3788,000;2709,000;1723,000;2554,000;2851,000;3040,000
1577,000;3745,000;3097,000;1756,000;2218,000;2864,000;3034,000
1611,000;3743,000;2769,000;1776,000;2706,000;2851,000;3031,000
1496,000;3740,000;2830,000;1760,000;2427,000;2849,000;3050,000
1525,000;3728,000;2768,000;1780,000;2444,000;2851,000;3109,000
1434,000;3698,000;2784,000;1780,000;2471,000;2855,000;3037,000
1509,000;3708,000;2751,000;1670,000;2450,000;2852,000;3066,000
1411,000;3690,000;2779,000;1762,000;2450,000;2853,000;3051,000
1199,000;3414,000;2785,000;1530,000;2469,000;2827,000;3031,000
949,000;2154,000;2580,000;1257,000;2363,000;2862,000;3012,000
905,000;1813,000;2388,000;1228,000;2320,000;2857,000;3038,000
2200,000;1958,000;2428,000;1188,000;2269,000;2799,000;3041,000
3592,000;2154,000;2490,000;1215,000;2285,000;2849,000;3035,000
3646,000;2287,000;2339,000;1313,000;2318,000;2847,000;3040,000
3338,000;2292,000;2466,000;765,000;2361,000;2860,000;3035,000
3277,000;2306,000;2553,000;1360,000;2345,000;2793,000;3035,000
3283,000;2336,000;2198,000;1359,000;2340,000;2849,000;3027,000
2967,000;2248,000;2564,000;1266,000;2354,000;2827,000;3039,000
1499,000;1911,000;2422,000;1204,000;2280,000;2854,000;3054,000
1412,000;1839,000;2340,000;1137,000;2150,000;2861,000;3039,000
1530,000;1966,000;2363,000;881,000;2225,000;2853,000;3017,000
1542,000;2551,000;2173,000;1160,000;2223,000;2887,000;3038,000
1606,000;3386,000;2430,000;1249,000;2272,000;2853,000;3040,000
1931,000;3708,000;2561,000;1468,000;2278,000;2860,000;3040,000
1981,000;3682,000;2577,000;1458,000;2271,000;2866,000;3042,000
1724,000;3645,000;2574,000;1476,000;2276,000;2868,000;3041,000
1690,000;3607,000;2595,000;1438,000;2269,000;2869,000;3041,000
1607,000;3383,000;2603,000;1373,000;2497,000;2874,000;3043,000
1940,000;1917,000;2393,000;1229,000;2225,000;2907,000;3027,000
1497,000;1898,000;2377,000;1176,000;2306,000;2858,000;3038,000
1584,000;2005,000;2401,000;1151,000;2210,000;2834,000;3046,000
1499,000;1996,000;2396,000;1204,000;2200,000;2850,000;3034,000
1508,000;1929,000;1683,000;1288,000;2202,000;2859,000;3043,000
1549,000;1951,000;2347,000;1121,000;2210,000;2851,000;3041,000
1509,000;1943,000;2359,000;1193,000;2198,000;2849,000;3031,000
1508,000;1930,000;2356,000;1162,000;2205,000;2858,000;3024,000
1509,000;1929,000;2344,000;994,000;2212,000;2847,000;2976,000
1522,000;2051,000;2469,000;1238,000;2203,000;2802,000;3035,000
1562,000;2283,000;3115,000;1636,000;2257,000;2823,000;3041,000
1651,000;2413,000;3706,000;2152,000;2336,000;2864,000;3050,000
1652,000;2348,000;3683,000;1829,000;2377,000;2862,000;3048,000
1659,000;2323,000;3654,000;1735,000;2340,000;2783,000;3120,000
1648,000;2318,000;3687,000;1720,000;2393,000;2849,000;3056,000
1651,000;2319,000;3230,000;1537,000;2404,000;2855,000;3030,000
1658,000;2306,000;3205,000;1629,000;2416,000;2857,000;3041,000
1524,000;1894,000;2342,000;990,000;2258,000;2861,000;3037,000
1539,000;1802,000;1638,000;803,000;2159,000;2850,000;3050,000
1542,000;1776,000;2041,000;892,000;2318,000;2864,000;3039,000
1535,000;1741,000;2048,000;769,000;2109,000;2846,000;3036,000
1564,000;1777,000;2048,000;736,000;2120,000;2854,000;3022,000
1542,000;1808,000;2064,000;781,000;2104,000;2860,000;3008,000
1528,000;1786,000;2065,000;892,000;2099,000;2855,000;3033,000
1538,000;1799,000;2837,000;803,000;2099,000;2864,000;3027,000
1519,000;1784,000;2113,000;892,000;2081,000;2839,000;3050,000
1500,000;1871,000;2138,000;853,000;2092,000;2807,000;3035,000
1599,000;2147,000;2776,000;1126,000;2198,000;2534,000;3038,000
1666,000;2338,000;3276,000;1840,000;2281,000;2839,000;3035,000
1704,000;2279,000;3236,000;1663,000;2303,000;2864,000;3033,000
1692,000;2446,000;3183,000;1537,000;2308,000;2859,000;3030,000
1701,000;2253,000;3181,000;1493,000;2313,000;2849,000;3031,000
1711,000;2227,000;3156,000;1448,000;2280,000;2870,000;3038,000
1615,000;2216,000;3151,000;1444,000;2310,000;2885,000;3040,000
1709,000;2216,000;3147,000;1359,000;2308,000;2880,000;3034,000
1802,000;2245,000;3128,000;1433,000;2311,000;2854,000;3030,000
1636,000;2195,000;2810,000;1338,000;2308,000;2851,000;3038,000
1567,000;1911,000;1519,000;134,000;2170,000;2880,000;3038,000
1840,000;1793,000;1839,000;268,000;2049,000;3149,000;3623,000
1562,000;1945,000;1832,000;357,000;1947,000;2767,000;3008,000
1556,000;1816,000;1841,000;357,000;2000,000;2837,000;3052,000
1549,000;1994,000;1925,000;714,000;2019,000;3088,000;3041,000
2114,000;1874,000;1939,000;803,000;1993,000;2848,000;2992,000
1571,000;1962,000;1924,000;558,000;2023,000;2047,000;2965,000
1565,000;1952,000;1870,000;1249,000;2005,000;2850,000;3551,000
1567,000;1936,000;1958,000;1427,000;2012,000;2800,000;3011,000
1567,000;1929,000;1967,000;847,000;2009,000;2833,000;2978,000
1447,000;1910,000;1971,000;714,000;2030,000;2857,000;3041,000
1601,000;1982,000;2236,000;714,000;2166,000;2862,000;3027,000
1704,000;2287,000;3211,000;1508,000;2232,000;2845,000;3071,000
1750,000;2240,000;3210,000;1714,000;2414,000;2851,000;3050,000
1759,000;2217,000;3158,000;1671,000;2446,000;2870,000;3019,000
1739,000;2222,000;3161,000;1606,000;2450,000;2854,000;3060,000
1766,000;2203,000;3152,000;1560,000;2448,000;2860,000;3034,000
1761,000;2212,000;3135,000;1564,000;2501,000;2852,000;3067,000
1757,000;2228,000;3134,000;1589,000;2480,000;2855,000;3038,000
1725,000;2536,000;3066,000;735,000;2536,000;2852,000;3050,000
1670,000;2021,000;2060,000;357,000;2384,000;2855,000;3037,000
1629,000;1872,000;1932,000;0,000;2129,000;2861,000;2987,000
1651,000;1894,000;1619,000;0,000;2083,000;2858,000;3031,000
1641,000;1968,000;1669,000;357,000;2122,000;2861,000;3029,000
1630,000;1982,000;1768,000;178,000;2111,000;2850,000;3031,000
1628,000;2027,000;1830,000;357,000;2154,000;2851,000;3031,000
1633,000;1970,000;1816,000;535,000;2159,000;3321,000;3042,000
1636,000;1860,000;1765,000;535,000;2166,000;2861,000;3033,000
1641,000;2042,000;2111,000;714,000;2166,000;2852,000;3031,000
1783,000;2387,000;3338,000;2165,000;2393,000;2852,000;3038,000
1804,000;2282,000;3247,000;1962,000;2699,000;2913,000;3045,000
1804,000;2267,000;3240,000;1975,000;2476,000;2829,000;2949,000
1810,000;2253,000;3165,000;1875,000;2280,000;2855,000;3031,000
1859,000;2254,000;3155,000;1872,000;2524,000;2855,000;3036,000
1826,000;2249,000;3651,000;2704,000;2535,000;2780,000;3054,000
1846,000;2247,000;2733,000;1829,000;2547,000;2874,000;3031,000
1861,000;2247,000;3135,000;1834,000;2559,000;2855,000;3024,000
1846,000;2247,000;3014,000;1802,000;2476,000;3056,000;3040,000
2060,000;2234,000;3125,000;1756,000;2257,000;2848,000;3042,000
1649,000;2245,000;3112,000;1788,000;2554,000;2852,000;3046,000
1844,000;2250,000;3100,000;1777,000;2561,000;2918,000;2822,000
1867,000;2345,000;3055,000;1940,000;2574,000;2853,000;3033,000
1913,000;2267,000;3049,000;1760,000;2563,000;2864,000;3127,000
1846,000;2248,000;3006,000;1784,000;2563,000;2858,000;3030,000
2556,000;2232,000;3080,000;1767,000;2531,000;2853,000;3037,000
1848,000;2240,000;3087,000;1868,000;2310,000;2860,000;3013,000
1889,000;2239,000;3072,000;1753,000;2575,000;2880,000;2884,000
1849,000;2187,000;3080,000;1801,000;2625,000;2863,000;3044,000
1886,000;2021,000;2640,000;981,000;2508,000;2842,000;2992,000
1736,000;1777,000;1688,000;0,000;2333,000;2848,000;3024,000
1709,000;1760,000;1620,000;0,000;2235,000;2883,000;3020,000
1724,000;1777,000;1652,000;0,000;2196,000;2859,000;3024,000
1772,000;1793,000;1647,000;0,000;2221,000;2834,000;3030,000
1685,000;1812,000;1733,000;178,000;2186,000;2855,000;3029,000
1640,000;1794,000;1743,000;357,000;2147,000;2821,000;3029,000
1713,000;1824,000;1772,000;357,000;2186,000;2847,000;3045,000
1716,000;1819,000;1786,000;178,000;2186,000;2856,000;3051,000
1716,000;1813,000;1793,000;714,000;2166,000;2857,000;3050,000
1690,000;1812,000;1815,000;357,000;1987,000;2855,000;3029,000
1713,000;1832,000;1759,000;178,000;2083,000;2834,000;3036,000
1833,000;1714,000;1295,000;0,000;2040,000;2047,000;3038,000
1803,000;1734,000;1173,000;0,000;1968,000;2843,000;3034,000
1743,000;1722,000;1228,000;0,000;1922,000;2874,000;3009,000
1736,000;1793,000;1265,000;0,000;1938,000;2864,000;3033,000
1762,000;1953,000;1589,000;535,000;2001,000;2830,000;3053,000
1689,000;1999,000;1775,000;446,000;2016,000;2881,000;3036,000
1673,000;2044,000;1750,000;580,000;2023,000;2832,000;3057,000
1702,000;2060,000;1806,000;714,000;2033,000;2844,000;3056,000
2236,000;2010,000;1633,000;714,000;2079,000;2841,000;2999,000
1677,000;1922,000;1785,000;803,000;2017,000;2861,000;3042,000
1739,000;1782,000;1391,000;0,000;1980,000;2847,000;3047,000
1740,000;1521,000;1264,000;0,000;1808,000;2864,000;3034,000
1759,000;1519,000;1184,000;0,000;1672,000;2856,000;3021,000
1709,000;1847,000;1487,000;714,000;1684,000;2854,000;3056,000
1228,000;2158,000;1904,000;1070,000;1769,000;2855,000;3028,000
1716,000;2378,000;2309,000;1320,000;1941,000;2878,000;3055,000
1716,000;2317,000;3230,000;1629,000;2203,000;2877,000;3041,000
1844,000;2360,000;3375,000;1996,000;2427,000;2925,000;3025,000
1846,000;2302,000;3259,000;2088,000;2572,000;2879,000;3038,000
2027,000;2312,000;3209,000;2088,000;2611,000;2850,000;3037,000
2030,000;2311,000;3183,000;1738,000;2611,000;2047,000;3031,000
1958,000;1913,000;1804,000;178,000;2354,000;2863,000;3037,000
1682,000;1793,000;1597,000;0,000;2147,000;2770,000;2998,000
1713,000;1717,000;1442,000;0,000;2086,000;2854,000;3046,000
1713,000;1793,000;1609,000;89,000;2060,000;2848,000;3029,000
1693,000;1794,000;1628,000;1070,000;2058,000;2848,000;3036,000
1740,000;1754,000;1630,000;134,000;2035,000;2871,000;3037,000
1664,000;1767,000;1673,000;1981,000;2035,000;2850,000;3040,000
1822,000;1757,000;1714,000;3486,000;2111,000;2846,000;3027,000
1811,000;1873,000;1750,000;3524,000;2111,000;2858,000;3042,000
1855,000;1915,000;1773,000;2964,000;2285,000;2890,000;3029,000
1859,000;1791,000;1852,000;3352,000;2333,000;2850,000;3030,000
1416,000;1794,000;1839,000;2796,000;2329,000;2864,000;3039,000
1855,000;1871,000;2072,000;3266,000;2354,000;2860,000;3063,000
1784,000;1893,000;1812,000;0,000;2290,000;2864,000;3047,000
1758,000;1813,000;1692,000;0,000;2007,000;2816,000;3038,000
1757,000;1792,000;1681,000;0,000;1860,000;2855,000;3041,000
1694,000;1782,000;1768,000;641,000;1872,000;2933,000;3031,000
1751,000;1771,000;1663,000;0,000;1826,000;2913,000;2955,000
1783,000;1775,000;1663,000;0,000;1830,000;2855,000;3041,000
1815,000;1836,000;1722,000;2310,000;1865,000;2853,000;3041,000
1954,000;1762,000;1778,000;3143,000;2081,000;2857,000;2947,000
1933,000;1832,000;1835,000;3015,000;2214,000;2839,000;3035,000
1908,000;1856,000;1871,000;2967,000;2219,000;2857,000;3031,000
1850,000;1966,000;1868,000;1164,000;2109,000;2863,000;3039,000
1780,000;1836,000;1785,000;0,000;1826,000;2866,000;3031,000
1796,000;1913,000;1864,000;0,000;1865,000;2847,000;3031,000
1821,000;1917,000;1797,000;320,000;1966,000;2863,000;3042,000
1795,000;1935,000;1842,000;0,000;1854,000;2856,000;3042,000
1780,000;1938,000;1803,000;481,000;1865,000;2838,000;3028,000
1785,000;1952,000;1955,000;641,000;1842,000;2865,000;3029,000
1687,000;1943,000;1871,000;481,000;1879,000;2862,000;3037,000
1774,000;1946,000;1884,000;641,000;1778,000;2862,000;3040,000
1686,000;1948,000;1931,000;641,000;1856,000;2824,000;3015,000
1757,000;1934,000;1883,000;441,000;1874,000;2907,000;2593,000
1766,000;1937,000;1896,000;641,000;1860,000;2863,000;3041,000
1622,000;1989,000;1974,000;721,000;1863,000;2768,000;3034,000
1788,000;1945,000;1898,000;681,000;1870,000;2854,000;3039,000
1785,000;1951,000;2286,000;641,000;1856,000;2851,000;3056,000
1772,000;1937,000;1855,000;641,000;1863,000;2832,000;3143,000
1673,000;1952,000;1903,000;661,000;1867,000;2864,000;3031,000
1764,000;1954,000;1910,000;721,000;1828,000;2827,000;2983,000
1778,000;1953,000;1937,000;0,000;1810,000;2834,000;3037,000
1799,000;1818,000;1904,000;641,000;1851,000;2858,000;3030,000
1772,000;1958,000;1904,000;641,000;1844,000;2849,000;3018,000
1795,000;1991,000;1904,000;651,000;1826,000;2843,000;3028,000
1845,000;1959,000;1903,000;641,000;1842,000;2850,000;3026,000
2499,000;1962,000;1890,000;641,000;1849,000;2854,000;3039,000
1770,000;1945,000;1903,000;641,000;1846,000;2849,000;3040,000
1765,000;1942,000;1903,000;731,000;1815,000;2832,000;3041,000
1739,000;1945,000;1912,000;400,000;1838,000;2845,000;3303,000
1671,000;1932,000;1649,000;641,000;1819,000;2859,000;3029,000
1759,000;1947,000;1918,000;721,000;1800,000;2851,000;3048,000
1758,000;1953,000;1880,000;1001,000;1831,000;2846,000;3024,000
1743,000;1952,000;1908,000;641,000;1838,000;2850,000;3038,000
1772,000;1914,000;1894,000;641,000;1862,000;2860,000;3045,000
1762,000;1899,000;1890,000;461,000;1753,000;2852,000;3055,000
1757,000;1872,000;1843,000;240,000;1849,000;2869,000;3042,000
1716,000;1828,000;1779,000;0,000;1605,000;2851,000;3610,000
2455,000;1814,000;1731,000;0,000;1544,000;2852,000;3040,000
1697,000;1813,000;1717,000;0,000;1521,000;2853,000;3299,000
1731,000;1974,000;1690,000;0,000;1532,000;2857,000;3045,000
1522,000;1813,000;1685,000;0,000;1488,000;2871,000;3055,000
1712,000;1779,000;1685,000;0,000;1486,000;2867,000;3024,000
1690,000;1728,000;1258,000;0,000;1456,000;2864,000;3227,000
1696,000;1799,000;1684,000;0,000;1449,000;2864,000;3024,000
2092,000;1741,000;1679,000;0,000;1546,000;2855,000;3049,000
1701,000;1614,000;1664,000;0,000;1399,000;2825,000;2928,000
1668,000;1793,000;1676,000;0,000;1412,000;2845,000;3024,000
1670,000;1793,000;1673,000;0,000;1433,000;2787,000;3031,000
1727,000;1718,000;1674,000;0,000;1424,000;2858,000;3037,000
1682,000;1793,000;1647,000;0,000;1426,000;2859,000;3078,000
1815,000;1825,000;1664,000;0,000;1426,000;2857,000;3104,000
2234,000;1771,000;1659,000;0,000;1412,000;2894,000;2847,000
1696,000;1794,000;796,000;0,000;1389,000;2864,000;3028,000
1697,000;1671,000;1657,000;0,000;1410,000;2890,000;3050,000
1736,000;1799,000;1672,000;0,000;1387,000;2864,000;3039,000
1701,000;1800,000;1662,000;0,000;1208,000;2882,000;3045,000
1715,000;1793,000;1673,000;0,000;1357,000;2864,000;2971,000
1882,000;1714,000;1552,000;641,000;693,000;2910,000;3063,000
1883,000;1714,000;1518,000;0,000;563,000;2866,000;3059,000
1932,000;1706,000;1556,000;0,000;106,000;2862,000;3055,000
1946,000;1691,000;1406,000;0,000;100,000;2853,000;3041,000
