BAÞ;ÝÞARET;ORTA;YÜZÜK;SERÇE;X;Y
726;1779;2247;3093;2657;3083;2854
2519;1868;2250;3169;2677;3095;2861
4095;1896;2251;3190;2657;3103;2864
4095;1906;2204;3093;2573;3082;2866
3113;1886;2255;3169;2620;3105;3011
2066;2000;2855;2544;2634;3058;2871
773;1819;2269;3061;2657;3108;2608
670;1804;2260;3093;2656;3105;2873
0;1856;2250;3134;2662;3111;2864
1314;1777;2712;3088;2496;3104;2902
3646;1937;2225;3223;2646;2822;2865
3274;1883;2254;3212;2587;3106;2877
2039;1879;2265;3190;2792;3106;3303
1099;1824;2269;3147;2638;3103;2864
776;1782;2317;3104;2639;3106;2863
934;1805;2247;3147;2639;3117;2861
2226;2094;2276;3277;2646;3105;2864
2549;2141;2227;3061;2644;3102;2865
2361;2159;2268;3147;2631;3088;2880
2472;2072;2291;3341;2646;3115;2873
2461;2003;2291;3298;2630;3105;2865
2451;1962;2290;3341;2688;3029;2879
2501;1977;2820;3320;2617;3107;2862
2465;1970;2300;3233;2621;3104;2866
2475;1979;2291;3320;2623;3029;2883
2465;1854;2279;3147;2615;3131;2866
2432;1966;2283;3320;2605;2581;2873
2453;1939;2260;3233;2612;3123;2865
2444;1894;2291;3233;2613;3103;3093
2472;1879;2291;3233;2734;3110;2901
2465;2073;2277;3061;2608;3107;2864
2430;1858;2291;3233;2630;3099;2864
2372;1403;2290;3233;2617;3094;2869
2789;548;2208;2964;2633;3132;2862
3250;10;2093;2916;2657;3104;2864
3206;235;2108;2886;2745;3099;2864
2579;1752;2223;2372;2744;3102;2890
2573;2816;2224;3750;2674;3097;2871
2480;2854;2235;3406;2714;3106;2865
2619;816;2221;2997;2662;3113;2765
2586;339;2170;3023;2595;3109;2869
2619;173;2093;2912;2555;3104;2879
2635;275;2075;1914;2600;3107;2842
2661;676;2090;2921;2621;2669;2803
2552;2678;2176;3395;2631;3105;2864
1991;3064;2291;3664;2623;3118;2880
2496;2962;2279;3664;2634;3098;2880
2619;2507;2265;3026;2579;3091;2864
2656;339;2122;2909;2416;3107;2872
2626;220;2876;2918;2423;3115;2864
2661;131;2160;2991;2369;3099;2861
2740;359;2055;2921;2395;3124;2866
2587;2458;2157;3277;2441;3111;2864
2420;2942;2200;3341;2553;3115;2866
2523;2939;2206;3406;2491;3106;2864
2574;1419;2194;2964;2408;3103;2864
2911;263;2089;3018;2633;3086;2863
2538;198;2056;2859;2393;3102;2865
2762;393;2060;2866;2385;3104;2864
2616;1826;1976;3180;2423;3089;2490
2554;3217;2201;3578;2490;3088;2914
2597;3293;2257;3621;2499;3099;2873
2578;3079;2276;3664;2543;3181;2871
2647;583;2161;3977;2483;3105;2866
2688;327;2163;2889;2423;3082;2865
2743;339;2159;2921;2446;3079;2949
2770;614;1327;2941;2402;3088;2855
2517;3217;2269;3729;2514;3102;2864
2560;3105;2290;3750;2519;3062;2863
2680;1989;2265;3040;2503;3127;2864
2361;544;1935;2932;2447;3104;2864
2172;514;2135;2953;2470;3070;2917
2582;2969;2325;3707;2548;3094;2811
2578;3150;2344;3750;2550;3100;2674
2645;3076;2362;3406;2553;3119;2862
2650;2672;2366;2594;2553;3133;2576
2560;2115;2039;1059;2485;3107;2864
2669;2102;1942;782;2449;3094;2855
2741;2165;1856;747;2423;3114;2861
2623;2918;2073;3320;2449;3104;2867
2547;3482;2508;4095;2626;3105;2864
2592;3384;2729;4095;2721;3105;2863
2629;2843;2659;2395;2737;3099;2867
3152;2501;1954;862;2579;3103;2866
2895;2585;1848;777;2457;3131;2861
2873;2483;1830;824;2441;3134;2847
2963;2459;1810;862;2470;3100;2864
2531;3345;2330;4095;2597;3105;2873
2546;3482;2648;4095;2713;3093;2861
2539;3364;2815;4095;2766;3114;2863
2634;2882;2482;2166;2761;3098;2864
2241;2384;1966;946;2735;3102;2811
2823;2544;1928;1454;2602;3095;2891
2930;2466;1848;849;2561;3111;2891
2882;2490;1867;1087;2538;2928;2864
2566;3379;2489;4095;2709;3098;2842
2546;3387;2756;4095;2796;3242;2867
2573;3320;2783;4095;2605;3109;2866
2682;2509;2356;1909;2809;3103;2849
2733;2163;1833;987;2820;3120;2864
2347;2204;1954;1021;2608;3150;2864
2786;2273;1833;1387;2558;3129;2866
2616;3046;2945;4095;2634;3120;2865
2587;3272;2780;4095;2833;3093;2865
2586;3140;3100;4095;2867;3103;2864
3195;2997;2800;4095;2871;3107;2851
2587;3088;2831;4095;2918;3105;2853
2615;3105;2838;4095;2918;2942;2853
2579;3088;2860;4095;2980;3090;3181
3684;3182;2921;4095;3007;3116;2864
2844;3022;2832;4095;2981;3115;2734
2659;3048;2817;4095;2998;3150;2869
2683;3005;2684;4095;3020;3118;2855
2727;2768;3230;4095;3019;3099;2870
2733;2745;2733;4095;2978;3098;2862
2738;2755;2989;4095;2963;3183;2877
2942;3048;2791;4095;2657;3105;2876
2849;3002;2774;4095;2638;3107;2875
2809;2936;2727;4095;2628;3106;2876
2804;2359;2506;3931;2584;3082;2863
2897;2247;2554;3085;2551;3318;2902
2619;2615;2626;3931;2630;3105;2864
4095;2115;2041;1742;2701;3022;2864
3325;2014;2639;735;2648;3100;2866
3684;1998;1900;858;2797;3118;2849
3518;2057;1767;965;2581;3117;2863
2613;2979;2543;4095;2724;3104;2877
2528;2887;2774;4095;2890;3123;2879
2274;2872;2246;4095;2949;3106;2873
2578;2459;2692;2701;2968;3089;2861
2605;2174;1777;980;2890;3105;2865
2911;2168;1861;949;2654;3136;2849
2623;2148;1930;1792;2392;3106;2864
2629;2883;2445;4095;2763;3071;2864
2517;2939;2708;4095;2862;3123;2864
2582;2741;2729;4095;2884;3065;2849
4095;2490;2504;2619;2871;3134;2864
2658;2389;2532;1836;2880;3101;2864
2667;2278;2306;1264;2820;3114;2863
2722;2247;2326;1077;2428;3094;2867
2744;2251;2284;1176;2688;3105;2839
2634;2888;2614;4095;2770;3047;2860
3290;2888;2684;4095;2836;3101;2883
2700;2873;2700;4095;2861;3106;2875
2183;2894;2719;4095;2678;3108;2863
3348;2804;2785;3931;2913;3055;2926
2624;2658;2684;2778;2882;3104;2871
2687;2400;2490;1333;2792;2967;2862
2746;2384;1572;1017;2779;3104;2866
2780;2406;2294;1063;2700;3106;2796
2788;2426;2247;1142;2706;3100;2865
2759;2324;2235;1330;2631;3106;2865
2760;2487;2262;1491;2649;3109;2896
2388;2845;2405;3972;2634;3105;2864
2587;2977;2684;3015;2766;3105;2837
2634;2502;2603;983;2765;3117;2864
3016;2439;2435;986;2709;3104;2865
2791;2660;2189;1118;2654;3107;2864
2785;2463;2336;1126;2656;3115;2868
2531;3040;2752;4095;2770;3121;2800
2581;2957;2785;4095;2845;3037;2855
2600;2765;2720;3274;2835;3095;2864
2712;2341;2525;1081;2740;3063;2983
2902;2316;2300;1082;2669;3094;2870
2605;2187;2228;1368;2525;3142;2871
2560;2851;2465;4095;2639;3425;2863
2597;2904;2718;4095;2745;3081;2864
2528;2923;2840;3439;2778;3107;2866
2149;2883;2970;4095;3126;3103;2864
3376;2389;2270;1213;2600;3088;2047
3274;2363;2266;1221;2734;3105;2047
3309;2344;2255;1333;2711;3103;3216
2337;2694;2378;4095;2706;3106;2864
2502;2898;2726;4095;2796;3089;2887
2581;2945;2744;3767;2851;3107;2864
2578;2261;2644;1744;2761;3105;2863
3195;2100;2202;1114;2345;2757;2914
3107;2076;2189;1145;2714;3102;2861
3171;1987;2123;1182;2709;3085;2843
2359;2576;2291;3726;2669;3129;3065
2534;2888;2588;4095;2721;3120;2864
2536;2813;2735;3603;2771;3109;2878
2077;2247;2494;1360;2791;3087;2843
2886;2115;2194;1045;2695;3099;2866
3046;2115;2077;1122;2659;3087;2864
2862;2060;2082;1328;2643;3649;2864
2478;2801;2407;4095;2698;3106;2865
1923;3059;2712;4095;2794;3078;2889
2639;2910;2894;4095;2805;3099;2864
2584;2896;2783;4095;2892;3120;2849
2425;2867;2810;4095;2866;3127;2844
2533;2796;2756;4095;2548;3105;2864
2566;2880;2821;4095;2574;3174;2864
2582;2840;2761;4095;2862;3127;2862
2582;2837;2827;4095;2887;3056;2826
2573;2840;2880;4095;2862;3105;2867
2610;2865;2821;4095;2869;3102;2867
2594;2762;2684;4095;2893;3112;2831
2658;2816;2077;4095;2555;3088;2882
2651;2329;2675;1826;2864;3106;2866
3068;2066;2328;931;2745;3103;2850
3174;1928;2131;1077;2744;3054;2864
3126;2009;2107;1196;2727;3099;2871
2966;2023;2088;1240;2691;3106;2855
2459;2393;2356;2886;2677;3111;2805
2534;2619;2520;4095;2700;3248;2864
2531;2707;2614;4095;2791;3111;2785
2574;2695;2640;4095;2644;3104;2859
2534;2709;2663;4095;2814;3102;2864
2578;2688;2655;4095;2838;3110;2858
2531;2635;2726;4095;2830;3104;2862
2497;2684;2699;4095;2831;3110;2871
2587;2678;2682;4095;2845;3119;2869
2582;2684;2690;4013;2864;3116;2874
2590;2680;2684;4095;2848;3105;2868
2882;2666;2693;4013;2843;3097;2869
2584;2668;2752;4013;2849;3204;2863
2582;2674;2648;4095;2840;3092;2859
2582;2666;2660;4013;2859;3104;2839
2732;2664;2645;3931;2866;3103;2862
2584;2660;2654;4013;2882;3117;2869
2600;2652;2652;3931;2871;3102;2857
2504;2660;3580;4095;2916;3101;2639
2613;2550;2644;4095;2906;3088;2864
2539;2659;2662;4095;2970;3133;2832
2590;2636;2660;3767;2913;3126;2875
2600;2576;2658;3767;2913;3120;2875
2592;2545;2645;3767;2918;3120;2873
2557;2570;2643;3767;2926;3106;2864
2594;2597;3072;3439;2915;3162;2863
2291;2591;2647;4095;2923;3114;2873
2515;2592;2639;2782;2880;3107;2891
2618;2609;2639;3767;2908;3094;3071
2589;2591;2640;4095;2888;3120;2868
2606;2583;2704;3931;2918;3276;2849
2531;2616;2658;3767;2949;3153;2861
2623;2616;2618;3767;2923;3107;2859
2589;2572;2221;3767;2918;3099;2862
2598;2643;2363;3357;2939;3107;2864
2592;2613;2639;3767;2902;3121;2878
2613;2616;2647;3767;2929;3013;2862
2562;2604;2622;3767;2921;3101;2852
2690;2607;2554;3767;2973;3110;2867
2740;2564;2566;3439;2858;3106;2875
2716;2561;2570;3767;2858;3102;2866
2711;2670;2545;3767;2859;3103;2866
2870;2548;2549;4095;2846;3108;2864
2844;2545;2540;3767;2877;3110;2864
2629;2556;2534;3603;2866;3135;2864
2870;2568;2506;3603;2877;3106;2865
2837;2548;2444;3767;2874;3102;2863
2857;2557;2485;3685;2797;3134;2875
2765;2593;2486;3439;2867;3088;2800
2778;2552;2491;3767;2869;3105;2903
2667;2446;2572;3603;2890;3104;2870
2687;2573;2581;2782;2919;3107;2850
2642;2564;2575;3767;2958;3127;2864
2000;2574;2583;3767;2963;3104;2851
2610;2561;2614;3192;2983;3101;2899
3795;2656;2123;4095;3011;3125;2864
2805;2459;698;3849;2972;3113;2878
2818;2430;813;3603;2913;3095;2890
2947;2373;785;4095;2884;3107;2877
2839;2357;829;3767;2869;3099;2867
2825;2330;791;3767;2918;3120;2864
1991;2359;873;3767;2888;3110;2866
2775;2359;0;3439;2947;3119;3195
2783;2372;873;3931;2903;3104;3388
2651;2352;764;3685;2928;2845;2799
2752;2367;923;3439;2856;3131;2859
2693;2359;895;3685;2910;3126;2864
2752;2359;840;3767;2968;3101;2864
2573;2235;1687;3767;3007;3103;2858
2736;2328;1985;3439;3151;3097;2864
2643;2347;2465;2782;3203;3120;2865
2690;2436;2800;4095;3239;2782;2860
2653;2470;2764;3849;3326;3111;2864
2767;2469;2851;4095;3330;3095;2967
2655;2499;2780;3931;3354;3111;2864
2696;2397;1250;3767;3379;3098;2864
2581;2275;709;2905;3335;3086;2858
2632;2401;698;3439;3227;3109;2862
2587;2204;1204;3521;3248;3107;2864
3736;2292;2553;3849;3323;3251;2868
3638;2401;2801;3849;3395;3106;2851
2640;2373;2753;4013;3416;3095;2863
2637;2482;1285;3685;3400;3103;2860
2865;2226;742;3439;3125;3106;2874
2950;2187;824;3418;2978;3099;2864
3041;2200;851;3521;3002;3097;2854
4095;2211;878;3315;3059;3180;2864
3027;2191;829;3767;3051;3098;2864
3017;2234;742;3767;3230;3106;2895
3104;2247;785;3767;3022;3099;2864
3075;2255;1265;3685;3015;3099;3125
3094;2266;1031;3439;3053;3111;2832
3012;2249;900;3767;2999;3101;2898
3011;2261;908;3685;3004;3111;2864
2972;2230;929;2782;3022;3047;2567
2209;2250;698;3439;2999;3125;2864
3120;2278;873;3685;2994;3104;2882
2586;2230;676;3562;2947;3693;2861
2626;2178;1815;3767;3045;3091;2865
2464;2444;3094;3439;3185;2845;2768
2805;2487;3086;4095;3313;3128;2864
2367;2414;2875;4095;3340;3104;2944
1821;2497;3049;4095;3385;3030;2875
1865;2486;3003;4095;3382;3106;2864
2606;2552;2957;4095;3393;3105;2913
2582;2470;2942;4095;3388;3103;2864
2581;2711;2890;4095;3714;3130;2871
2586;2474;2860;4095;3449;3189;2751
2584;2517;2863;4095;3427;3106;2864
2598;2486;2852;4095;3450;3097;2845
2485;2489;2825;4095;3455;3102;2822
2603;2486;2690;3931;3440;3070;2864
2610;2487;2672;4095;3465;3120;2878
2605;2486;2667;4095;3427;3105;2868
2600;2469;2679;4095;3455;3095;2873
2635;2483;2079;4054;3475;3103;2882
3123;2444;1206;3849;3457;3104;2958
2618;2395;713;3767;3665;3119;2797
2623;2463;784;4054;3447;3109;2784
2613;2448;762;3931;3385;3105;2595
2618;2273;994;3767;3528;3056;2852
2645;2271;1365;3644;3395;3118;2842
2634;2302;1227;3603;3444;3129;2863
2701;2367;2382;3767;3414;3139;3360
2632;2388;2818;3767;3450;3103;2863
2642;2423;2834;3767;3481;3117;2869
2637;2376;2828;3767;3491;3116;2896
2587;2329;3998;4095;3496;2640;2864
2554;2430;2803;3767;3480;3105;2864
2645;2443;2769;3767;3387;3106;2869
